Entity,Attribute,DataType,Nullable,PK,FK,Domain,Description,SourceReqID,Sensitivity,ValidationRules,Notes
EMPLOYEES,DEFAULT_STAGE_ID,TBD,TBD,No,Yes,,المرحلة الافتراضية,FR-005,TBD,,
EMPLOYEES,STATUS,TBD,TBD,No,No,,حالة الموظف,FR-005,TBD,,
SKILLS,EMP_ID,TBD,TBD,Yes,Yes,,الموظف,FR-006,TBD,,
SKILLS,STAGE_ID,TBD,TBD,Yes,Yes,,المرحلة المخولة,FR-006,TBD,,
TRAINING_CONTENT,TR_ID,TBD,TBD,Yes,No,,معرّف المحتوى التدريبي,FR-010,TBD,,
TRAINING_CONTENT,STAGE_ID,TBD,TBD,No,Yes,,المرحلة المرتبطة,FR-036,TBD,,
TRAINING_CONTENT,TITLE,TBD,TBD,No,No,,عنوان المحتوى,FR-010,TBD,,
TRAINING_CONTENT,MEDIA_URL,TBD,TBD,No,No,,رابط الوسائط,FR-010,TBD,,
TRAINING_CONTENT,QUIZ_JSON,TBD,TBD,No,No,,بيانات الاختبار,FR-010,TBD,,
TRAINING_CONTENT,RECURRENCE,TBD,TBD,No,No,,تكرار التدريب,FR-038,TBD,,
TRAINING_ASSIGN,ASSIGN_ID,TBD,TBD,Yes,No,,معرّف التعيين,FR-038,TBD,,
TRAINING_ASSIGN,EMP_ID,TBD,TBD,No,Yes,,الموظف,FR-038,TBD,,
TRAINING_ASSIGN,TR_ID,TBD,TBD,No,Yes,,المحتوى التدريبي,FR-038,TBD,,
TRAINING_ASSIGN,ASSIGN_DATE,TBD,TBD,No,No,,تاريخ التعيين,FR-038,TBD,,
TRAINING_ASSIGN,DUE_DATE,TBD,TBD,No,No,,تاريخ الاستحقاق,FR-038,TBD,,
TRAINING_ASSIGN,STATUS,TBD,TBD,No,No,,حالة التدريب,FR-037,TBD,,
TRAINING_ASSIGN,ACK_AT,TBD,TBD,No,No,,تاريخ الإقرار,FR-038,TBD,,
PRODUCTS,PROD_ID,TBD,TBD,Yes,No,,معرّف المنتج,FR-003,TBD,,
PRODUCTS,PROD_CODE,TBD,TBD,No,No,,رقم المنتج,FR-077,TBD,Unique,
PRODUCTS,PROD_TYPE,TBD,TBD,No,No,,نوع المنتج,FR-003,TBD,,
PRODUCTS,MODEL,TBD,TBD,No,No,,موديل المنتج,FR-004,TBD,,
PRODUCTS,CUSTOMER_OPTIONS_JSON,TBD,TBD,No,No,,مواصفات ومقاسات العميل,FR-004,TBD,,
ORDERS,ORDER_ID,TBD,TBD,Yes,No,,معرّف الطلب,FR-076,TBD,,
ORDERS,INVOICE_NUM,TBD,TBD,No,No,,رقم الفاتورة,FR-076,TBD,Unique,
ORDERS,CUSTOMER,TBD,TBD,No,No,,العميل,FR-076,TBD,,
ORDERS,DUE_DATE,TBD,TBD,No,No,,موعد التسليم,FR-081,TBD,,
ORDERS,BRANCH,TBD,TBD,No,No,,الفرع,FR-013,TBD,,
ORDERS,SHIP_DISTANCE,TBD,TBD,No,No,,زمن/بعد الشحن,FR-013,TBD,,
ORDER_ITEMS,ITEM_ID,TBD,TBD,Yes,No,,معرّف العنصر,FR-077,TBD,,
ORDER_ITEMS,ORDER_ID,TBD,TBD,No,Yes,,الطلب,FR-076,TBD,,
ORDER_ITEMS,PROD_ID,TBD,TBD,No,Yes,,المنتج,FR-077,TBD,,
ORDER_ITEMS,QTY,TBD,TBD,No,No,,الكمية,FR-077,TBD,,
DISTRIBUTIONS,DIST_ID,TBD,TBD,Yes,No,,معرّف حركة التوزيع,FR-013,TBD,,
DISTRIBUTIONS,ITEM_ID,TBD,TBD,No,Yes,,العنصر,FR-013,TBD,,
DISTRIBUTIONS,FROM_STAGE_ID,TBD,TBD,No,Yes,,من مرحلة,FR-013,TBD,,
DISTRIBUTIONS,TO_STAGE_ID,TBD,TBD,No,Yes,,إلى مرحلة,FR-013,TBD,,
DISTRIBUTIONS,DIST_TIME,TBD,TBD,No,No,,وقت التوزيع,FR-013,TBD,,
DISTRIBUTIONS,USER_ID,TBD,TBD,No,Yes,,المستخدم المنفذ,FR-014,TBD,,
DISTRIBUTIONS,REASON,TBD,TBD,No,No,,سبب التوزيع,FR-014,TBD,,
PROD_LOGS,LOG_ID,TBD,TBD,Yes,No,,معرّف سجل الإنتاج,FR-025,TBD,,
PROD_LOGS,ITEM_ID,TBD,TBD,No,Yes,,العنصر,FR-025,TBD,,
PROD_LOGS,STAGE_ID,TBD,TBD,No,Yes,,المرحلة,FR-025,TBD,,
PROD_LOGS,EMP_ID,TBD,TBD,No,Yes,,الموظف,FR-025,TBD,,
PROD_LOGS,START_AT,TBD,TBD,No,No,,وقت البداية,FR-025,TBD,,
PROD_LOGS,END_AT,TBD,TBD,No,No,,وقت النهاية,FR-026,TBD,,
PROD_LOGS,DURATION_SEC,TBD,TBD,No,No,,مدة بالثواني,FR-027,TBD,,
PROD_LOGS,NOTES,TBD,TBD,No,No,,ملاحظات,FR-025,TBD,,
DEFECTS,DEFECT_ID,TBD,TBD,Yes,No,,معرّف العيب,FR-007,TBD,,
DEFECTS,CODE,TBD,TBD,No,No,,كود العيب,FR-007,TBD,Unique,
DEFECTS,NAME_AR,TBD,TBD,No,No,,اسم العيب بالعربية,FR-007,TBD,,
DEFECTS,NAME_EN,TBD,TBD,No,No,,اسم العيب بالإنجليزية,FR-007,TBD,,
DEFECTS,SEVERITY,TBD,TBD,No,No,,شدة العيب,FR-007,TBD,,
DEFECTS,CATEGORY,TBD,TBD,No,No,,فئة العيب,FR-007,TBD,,
QC_CHECKS,QC_ID,TBD,TBD,Yes,No,,معرّف فحص الجودة,FR-039,TBD,,
QC_CHECKS,ITEM_ID,TBD,TBD,No,Yes,,العنصر,FR-039,TBD,,
QC_CHECKS,STAGE_ID,TBD,TBD,No,Yes,,المرحلة,FR-039,TBD,,
QC_CHECKS,EMP_ID,TBD,TBD,No,Yes,,الفاحص,FR-039,TBD,,
QC_CHECKS,QC_TYPE,TBD,TBD,No,No,INITIAL|FINAL|BRANCH,نوع الفحص,FR-039,TBD,,
QC_CHECKS,RESULT,TBD,TBD,No,No,مطابق|إصلاح|مرفوض,نتيجة الفحص,FR-042,TBD,,
QC_CHECKS,HIDDEN_CHECK_JSON,TBD,TBD,No,No,,بيانات الفحص المخفي,FR-045,TBD,,
QC_CHECKS,NOTE,TBD,TBD,No,No,,ملاحظة,FR-039,TBD,,
QC_DEFECTS,QC_ID,TBD,TBD,Yes,Yes,,مرجع فحص الجودة,FR-047,TBD,,
QC_DEFECTS,DEFECT_ID,TBD,TBD,Yes,Yes,,مرجع العيب,FR-047,TBD,,
QC_DEFECTS,QTY,TBD,TBD,No,No,,الكمية,FR-047,TBD,,
QC_DEFECTS,PHOTO_URL,TBD,TBD,No,No,,رابط الصورة,FR-047,TBD,,
REPAIR_TICKETS,RPR_ID,TBD,TBD,Yes,No,,معرّف تذكرة الإصلاح,FR-048,TBD,,
REPAIR_TICKETS,ITEM_ID,TBD,TBD,No,Yes,,العنصر,FR-048,TBD,,
REPAIR_TICKETS,STAGE_ID,TBD,TBD,No,Yes,,المرحلة,FR-048,TBD,,
REPAIR_TICKETS,ASSIGNED_EMP_ID,TBD,TBD,No,Yes,,الموظف المكلّف,FR-048,TBD,,
REPAIR_TICKETS,DUE_AT,TBD,TBD,No,No,,موعد الإصلاح,FR-048,TBD,,
REPAIR_TICKETS,STATUS,TBD,TBD,No,No,,حالة التذكرة,FR-048,TBD,,
REPAIR_TICKETS,REASON,TBD,TBD,No,No,,سبب التذكرة,FR-048,TBD,,
RATES,RATE_ID,TBD,TBD,Yes,No,,معرّف السعر,FR-009,TBD,,
RATES,STAGE_ID,TBD,TBD,No,Yes,,مرحلة السعر,FR-009,TBD,,
RATES,EMP_ID,TBD,TBD,No,Yes,,موظف السعر,FR-009,TBD,,
RATES,RATE_TYPE,TBD,TBD,No,No,HOUR|PIECE|MONTHLY_MIN,نوع السعر,FR-009,TBD,,
RATES,RATE_VALUE,TBD,TBD,No,No,,قيمة السعر,FR-009,TBD,,
RATES,EFFECTIVE_FROM,TBD,TBD,No,No,,سريان من,FR-009,TBD,,
RATES,EFFECTIVE_TO,TBD,TBD,No,No,,سريان إلى,FR-009,TBD,,
NPT_LOGS,NPT_ID,TBD,TBD,Yes,No,,معرّف NPT,FR-061,TBD,,
NPT_LOGS,EMP_ID,TBD,TBD,No,Yes,,الموظف,FR-061,TBD,,
NPT_LOGS,TASK_DESC,TBD,TBD,No,No,,وصف المهمة,FR-061,TBD,,
NPT_LOGS,START_AT,TBD,TBD,No,No,,وقت البداية,FR-061,TBD,,
NPT_LOGS,END_AT,TBD,TBD,No,No,,وقت النهاية,FR-061,TBD,,
NPT_LOGS,HOURS,TBD,TBD,No,No,,عدد الساعات,FR-061,TBD,,
PAYROLL_RUNS,RUN_ID,TBD,TBD,Yes,No,,معرّف مسير الرواتب,FR-064,TBD,,
PAYROLL_RUNS,PERIOD_FROM,TBD,TBD,No,No,,فترة من,FR-064,TBD,,
PAYROLL_RUNS,PERIOD_TO,TBD,TBD,No,No,,فترة إلى,FR-064,TBD,,
PAYROLL_RUNS,STATUS,TBD,TBD,No,No,,حالة المسير,FR-064,TBD,,
PAYROLL_LINES,RUN_ID,TBD,TBD,Yes,Yes,,مرجع المسير,FR-064,TBD,,
PAYROLL_LINES,EMP_ID,TBD,TBD,Yes,Yes,,الموظف,FR-059,TBD,,
PAYROLL_LINES,EARN_PROD,TBD,TBD,No,No,,أجر الإنتاج,FR-059,TBD,,
PAYROLL_LINES,EARN_PIECE,TBD,TBD,No,No,,أجر القطعة,FR-060,TBD,,
PAYROLL_LINES,EARN_NPT,TBD,TBD,No,No,,أجر NPT,FR-061,TBD,,
PAYROLL_LINES,DEDUCTIONS,TBD,TBD,No,No,,الاستقطاعات,FR-059,TBD,,
PAYROLL_LINES,NET,TBD,TBD,No,No,,الصافي,FR-059,TBD,,
NOTIFICATIONS,MSG_ID,TBD,TBD,Yes,No,,معرّف الرسالة,FR-050,TBD,,
NOTIFICATIONS,EMP_ID,TBD,TBD,No,Yes,,الموظف,FR-050,TBD,,
NOTIFICATIONS,CHANNEL,TBD,TBD,No,No,,القناة,FR-050,TBD,,
NOTIFICATIONS,TEMPLATE,TBD,TBD,No,No,,القالب,FR-011,TBD,,
NOTIFICATIONS,PAYLOAD_JSON,TBD,TBD,No,No,,بيانات الإرسال,FR-050,TBD,,
NOTIFICATIONS,STATUS,TBD,TBD,No,No,,حالة الإرسال,FR-054,TBD,,
NOTIFICATIONS,SENT_AT,TBD,TBD,No,No,,وقت الإرسال,FR-054,TBD,,
SETTINGS,KEY,TBD,TBD,Yes,No,,مفتاح الإعداد,FR-012,TBD,Unique,
SETTINGS,VALUE,TBD,TBD,No,No,,قيمة الإعداد,FR-012,TBD,,
AUDIT_LOG,AUD_ID,TBD,TBD,Yes,No,,معرّف السجل التدقيقي,SEC-005,TBD,,
AUDIT_LOG,TABLE_NAME,TBD,TBD,No,No,,اسم الجدول,SEC-005,TBD,,
AUDIT_LOG,ROW_ID,TBD,TBD,No,No,,معرّف السجل,SEC-005,TBD,,
AUDIT_LOG,ACTION,TBD,TBD,No,No,,نوع العملية,SEC-005,TBD,,
AUDIT_LOG,USER_ID,TBD,TBD,No,No,,المستخدم,SEC-005,TBD,,
AUDIT_LOG,TS,TBD,TBD,No,No,,الطابع الزمني,SEC-005,TBD,,
STAGES,IS_SEWING,TBD,TBD,No,No,Y|N,مرحلة خياطة,FR-035,TBD,,
STAGES,IS_INTERNAL,TBD,TBD,No,No,Y|N,مرحلة داخلية,FR-035,TBD,,
STAGES,IS_EXTERNAL,TBD,TBD,No,No,Y|N,مرحلة خارجية,FR-035,TBD,,
STAGES,REQUIRES_QC,TBD,TBD,No,No,Y|N,تتطلب فحص جودة,FR-039,TBD,,
STAGES,DEFAULT_QC_TYPE,TBD,TBD,No,No,Default|Hidden|Final|None,نوع QC الافتراضي,FR-039,TBD,,
STAGES,REQUIRES_PHOTO,TBD,TBD,No,No,Y|N,يتطلب صور عند العيوب,FR-047,TBD,,
STAGES,CAN_PARALLEL_INVOICE,TBD,TBD,No,No,Y|N,يسمح بتوازي نفس الفاتورة,FR-030,TBD,,
STAGES,CENTER_ID,TBD,TBD,No,Yes,,ربط المرحلة بالمركز,SEC-002,TBD,,
EMPLOYEES,IS_EXTERNAL_TAILOR,TBD,TBD,No,No,Y|N,خياط خارجي,FR-035,TBD,,
EMPLOYEES,BRANCH_ID,TBD,TBD,No,Yes,,فرع الموظف,SEC-002,TBD,,
EMPLOYEES,CENTER_ID,TBD,TBD,No,Yes,,مركز الموظف,SEC-002,TBD,,
ORDER_ITEMS,ITEM_SEQ,TBD,TBD,No,No,,تسلسل العنصر,FR-083,TBD,,
ORDER_ITEMS,THOBE_NUM,TBD,TBD,No,No,,هوية موحدة للعنصر,FR-083,TBD,,
ORDERS,BRANCH_ID,TBD,TBD,No,Yes,,معرّف الفرع,SEC-002,TBD,,
BRANCHES,BRANCH_ID,TBD,TBD,Yes,No,,معرّف الفرع,SEC-002,TBD,,
BRANCHES,NAME_AR,TBD,TBD,No,No,,اسم الفرع بالعربية,SEC-002,TBD,,
BRANCHES,NAME_EN,TBD,TBD,No,No,,اسم الفرع بالإنجليزية,SEC-002,TBD,,
BRANCHES,ACTIVE,TBD,TBD,No,No,,حالة الفرع,SEC-002,TBD,,
CENTERS,CENTER_ID,TBD,TBD,Yes,No,,معرّف المركز,SEC-002,TBD,,
CENTERS,BRANCH_ID,TBD,TBD,No,Yes,,ربط المركز بالفرع,SEC-002,TBD,,
CENTERS,NAME_AR,TBD,TBD,No,No,,اسم المركز بالعربية,SEC-002,TBD,,
CENTERS,NAME_EN,TBD,TBD,No,No,,اسم المركز بالإنجليزية,SEC-002,TBD,,
STAGE_DEFECTS,STAGE_ID,TBD,TBD,Yes,Yes,,مرحلة مرتبطة بالعيب,FR-007,TBD,,
STAGE_DEFECTS,DEFECT_ID,TBD,TBD,Yes,Yes,,عيب مرتبط بالمرحلة,FR-007,TBD,,
STAGE_DEFECTS,ALLOWED,TBD,TBD,No,No,Y|N,هل العيب مسموح في المرحلة,FR-007,TBD,,
STAGE_DEFECTS,SEVERITY_OVERRIDE,TBD,TBD,No,No,L|M|H,تجاوز شدة العيب,FR-007,TBD,,
PENALTIES,PENALTY_ID,TBD,TBD,Yes,No,,معرّف الجزاء,FR-008,TBD,,
PENALTIES,DEFECT_CODE,TBD,TBD,No,No,,كود العيب,FR-008,TBD,,
PENALTIES,SEVERITY,TBD,TBD,No,No,L|M|H,شدة العيب,FR-008,TBD,,
PENALTIES,DISCOVERY_LOCATION,TBD,TBD,No,No,InternalQC|FinalQC|CustomerReturn|HiddenQC,مكان الاكتشاف,FR-008,TBD,,
PENALTIES,ROLE,TBD,TBD,No,No,Worker|Tailor|QC|Storekeeper|Manager,الدور,FR-008,TBD,,
PENALTIES,FIRST_POINTS,TBD,TBD,No,No,,نقاط أول مرة,FR-008,TBD,,
PENALTIES,REPEAT_POINTS,TBD,TBD,No,No,,نقاط تكرار,FR-008,TBD,,
PENALTIES,MAX_CAP_PER_INVOICE,TBD,TBD,No,No,,حد أقصى للفاتورة,FR-008,TBD,,
PENALTY_APPLIED,PEN_APPLIED_ID,TBD,TBD,Yes,No,,معرّف تطبيق الجزاء,FR-095,TBD,,
PENALTY_APPLIED,EMP_ID,TBD,TBD,No,Yes,,الموظف,FR-095,TBD,,
PENALTY_APPLIED,ITEM_ID,TBD,TBD,No,Yes,,العنصر,FR-095,TBD,,
PENALTY_APPLIED,DEFECT_ID,TBD,TBD,No,Yes,,العيب,FR-095,TBD,,
PENALTY_APPLIED,POINTS,TBD,TBD,No,No,,النقاط المطبقة,FR-095,TBD,,
PENALTY_APPLIED,TS,TBD,TBD,No,No,,وقت التطبيق,FR-095,TBD,,
WHATSAPP_TEMPLATES,TEMPLATE_ID,TBD,TBD,Yes,No,,معرّف القالب,FR-011,TBD,,
WHATSAPP_TEMPLATES,NAME,TBD,TBD,No,No,,اسم القالب,FR-011,TBD,,
WHATSAPP_TEMPLATES,LANGUAGE,TBD,TBD,No,No,AR|EN,لغة القالب,FR-011,TBD,,
WHATSAPP_TEMPLATES,TRIGGER_EVENT,TBD,TBD,No,No,,حدث الإرسال,FR-011,TBD,,
WHATSAPP_TEMPLATES,MESSAGE_BODY,TBD,TBD,No,No,,نص الرسالة,FR-011,TBD,,
WHATSAPP_TEMPLATES,VARIABLES,TBD,TBD,No,No,,متغيرات القالب,FR-011,TBD,,
WHATSAPP_TEMPLATES,CHANNEL,TBD,TBD,No,No,WhatsApp|SMS|Email,قناة الإرسال,FR-011,TBD,,
WHATSAPP_TEMPLATES,ACTIVE,TBD,TBD,No,No,Y|N,حالة القالب,FR-011,TBD,,
SPEC_OPTIONS,ITEM_ID,TBD,TBD,Yes,Yes,,العنصر,FR-032,TBD,,
SPEC_OPTIONS,SPEC_KEY,TBD,TBD,No,No,,مفتاح المواصفة,FR-032,TBD,,
SPEC_OPTIONS,SPEC_VALUE,TBD,TBD,No,No,,قيمة المواصفة,FR-032,TBD,,
ITEM_STAGE_PLAN,ITEM_ID,TBD,TBD,Yes,Yes,,العنصر,FR-032,TBD,,
ITEM_STAGE_PLAN,STAGE_CODE,TBD,TBD,Yes,No,,مرحلة مطلوبة,FR-032,TBD,,
ITEM_STAGE_PLAN,SEQ,TBD,TBD,No,No,,ترتيب المرحلة,FR-032,TBD,,
ITEM_STAGE_PLAN,REQUIRED_YN,TBD,TBD,No,No,Y|N,هل المرحلة مطلوبة,FR-032,TBD,,
ITEM_STAGE_PLAN,PLAN_REASON,TBD,TBD,No,No,,سبب الإضافة,FR-032,TBD,,
INTEGRATION_LOGS,LOG_ID,TBD,TBD,Yes,No,,معرّف سجل التكامل,FR-090,TBD,,
INTEGRATION_LOGS,SYSTEM,TBD,TBD,No,No,,النظام الخارجي,FR-090,TBD,,
INTEGRATION_LOGS,DIRECTION,TBD,TBD,No,No,Pull|Push,اتجاه التكامل,FR-090,TBD,,
INTEGRATION_LOGS,ENDPOINT,TBD,TBD,No,No,,نقطة النهاية,FR-090,TBD,,
INTEGRATION_LOGS,STATUS,TBD,TBD,No,No,,حالة التنفيذ,FR-090,TBD,,
INTEGRATION_LOGS,REQUEST_ID,TBD,TBD,No,No,,معرّف الطلب,FR-090,TBD,,
INTEGRATION_LOGS,ERROR_MSG,TBD,TBD,No,No,,رسالة الخطأ,FR-090,TBD,,
INTEGRATION_LOGS,TS,TBD,TBD,No,No,,الطابع الزمني,FR-090,TBD,,
SETTINGS,SHIFT_HOURS_DEFAULT,TBD,TBD,No,No,,ساعات الدوام الافتراضية,FR-073,TBD,,
ORDERS,STATUS,TBD,TBD,No,No,NEW|IN_PROGRESS|CANCELLED|COMPLETED,حالة الطلب,FR-093,TBD,,
ORDERS,CANCELLED_AT,TBD,TBD,No,No,,وقت الإلغاء,FR-093,TBD,,
ORDERS,SOURCE_UPDATED_AT,TBD,TBD,No,No,,وقت التحديث في النظام المصدر,FR-093,TBD,,
ORDERS,LAST_SYNC_AT,TBD,TBD,No,No,,آخر وقت مزامنة,FR-093,TBD,,
BI_KPI_DAILY,KPI_DATE,TBD,TBD,Yes,No,Date,تاريخ المؤشر,FR-094,TBD,,
BI_KPI_DAILY,KPI_CODE,TBD,TBD,Yes,No,,كود المؤشر,FR-094,TBD,,
BI_KPI_DAILY,KPI_VALUE,TBD,TBD,No,No,,قيمة المؤشر,FR-094,TBD,,
BI_KPI_DAILY,STAGE_ID,TBD,TBD,No,Yes,,مرحلة المؤشر,FR-094,TBD,,
BI_KPI_DAILY,BRANCH_ID,TBD,TBD,No,Yes,,فرع المؤشر,FR-094,TBD,,
BI_KPI_DAILY,UPDATED_AT,TBD,TBD,No,No,,آخر تحديث,FR-094,TBD,,
COST_STANDARDS,COST_ID,TBD,TBD,Yes,No,,معرّف تكلفة معيارية,FR-096,TBD,,
COST_STANDARDS,STAGE_ID,TBD,TBD,No,Yes,,مرحلة التكلفة,FR-096,TBD,,
COST_STANDARDS,COST_TYPE,TBD,TBD,No,No,LABOR|OVERHEAD|MATERIAL,نوع التكلفة,FR-096,TBD,,
COST_STANDARDS,COST_RATE,TBD,TBD,No,No,,معدل التكلفة,FR-096,TBD,,
COST_STANDARDS,EFFECTIVE_FROM,TBD,TBD,No,No,,سريان من,FR-096,TBD,,
COST_STANDARDS,EFFECTIVE_TO,TBD,TBD,No,No,,سريان إلى,FR-096,TBD,,
OVERHEAD_POOLS,POOL_ID,TBD,TBD,Yes,No,,معرّف مجمع التحميل,FR-096,TBD,,
OVERHEAD_POOLS,NAME,TBD,TBD,No,No,,اسم المجمع,FR-096,TBD,,
OVERHEAD_POOLS,RATE_VALUE,TBD,TBD,No,No,,قيمة التحميل,FR-096,TBD,,
OVERHEAD_POOLS,BASIS,TBD,TBD,No,No,HOUR|PIECE|VALUE,أساس التحميل,FR-096,TBD,,
COST_ALLOCATIONS,POOL_ID,TBD,TBD,Yes,Yes,,مرجع مجمع التحميل,FR-096,TBD,,
COST_ALLOCATIONS,STAGE_ID,TBD,TBD,Yes,Yes,,مرحلة التخصيص,FR-096,TBD,,
COST_ALLOCATIONS,ALLOC_PERCENT,TBD,TBD,No,No,,نسبة التخصيص,FR-096,TBD,,
COST_RUNS,RUN_ID,TBD,TBD,Yes,No,,معرّف دورة التكلفة,FR-096,TBD,,
COST_RUNS,PERIOD_FROM,TBD,TBD,No,No,,بداية الفترة,FR-096,TBD,,
COST_RUNS,PERIOD_TO,TBD,TBD,No,No,,نهاية الفترة,FR-096,TBD,,
COST_RUNS,STATUS,TBD,TBD,No,No,,حالة الدورة,FR-096,TBD,,
COST_RUNS,CREATED_AT,TBD,TBD,No,No,,تاريخ الإنشاء,FR-096,TBD,,
COST_RESULTS,RUN_ID,TBD,TBD,Yes,Yes,,مرجع دورة التكلفة,FR-096,TBD,,
COST_RESULTS,ITEM_ID,TBD,TBD,Yes,Yes,,العنصر,FR-096,TBD,,
COST_RESULTS,TOTAL_COST,TBD,TBD,No,No,,إجمالي التكلفة,FR-096,TBD,,
COST_RESULTS,COST_BREAKDOWN_JSON,TBD,TBD,No,No,,تفصيل التكلفة,FR-096,TBD,,
INCENTIVE_RULES,RULE_ID,TBD,TBD,Yes,No,,معرّف القاعدة,FR-097,TBD,,
INCENTIVE_RULES,STAGE_ID,TBD,TBD,No,Yes,,المرحلة,FR-097,TBD,,
INCENTIVE_RULES,METRIC,TBD,TBD,No,No,PIECES_PER_HOUR|DURATION,مؤشر الاحتساب,FR-097,TBD,,
INCENTIVE_RULES,THRESHOLD,TBD,TBD,No,No,,العتبة,FR-097,TBD,,
INCENTIVE_RULES,RATE,TBD,TBD,No,No,,معدل الحافز,FR-097,TBD,,
INCENTIVE_RULES,MAX_CAP,TBD,TBD,No,No,,حد أقصى,FR-097,TBD,,
INCENTIVE_RULES,EFFECTIVE_FROM,TBD,TBD,No,No,,سريان من,FR-097,TBD,,
INCENTIVE_RULES,EFFECTIVE_TO,TBD,TBD,No,No,,سريان إلى,FR-097,TBD,,
INCENTIVE_EARNINGS,RUN_ID,TBD,TBD,Yes,Yes,,مرجع المسير,FR-097,TBD,,
INCENTIVE_EARNINGS,EMP_ID,TBD,TBD,Yes,Yes,,الموظف,FR-097,TBD,,
INCENTIVE_EARNINGS,AMOUNT,TBD,TBD,No,No,,قيمة الحافز,FR-097,TBD,,
INCENTIVE_EARNINGS,DETAILS_JSON,TBD,TBD,No,No,,تفاصيل الحساب,FR-097,TBD,,
PAYROLL_LINES,EARN_INCENTIVE,TBD,TBD,No,No,,أجر الحوافز,FR-097,TBD,,
MOBILE_DEVICES,DEVICE_ID,TBD,TBD,Yes,No,,معرّف الجهاز,FR-098,TBD,,
MOBILE_DEVICES,EMP_ID,TBD,TBD,No,Yes,,الموظف المرتبط,FR-098,TBD,,
MOBILE_DEVICES,DEVICE_TYPE,TBD,TBD,No,No,,نوع الجهاز,FR-098,TBD,,
MOBILE_DEVICES,LAST_SYNC_AT,TBD,TBD,No,No,,آخر مزامنة,FR-098,TBD,,
MOBILE_DEVICES,STATUS,TBD,TBD,No,No,,حالة الجهاز,FR-098,TBD,,
OFFLINE_QUEUE,QUEUE_ID,TBD,TBD,Yes,No,,معرّف الصف,FR-098,TBD,,
OFFLINE_QUEUE,DEVICE_ID,TBD,TBD,No,Yes,,الجهاز,FR-098,TBD,,
OFFLINE_QUEUE,EMP_ID,TBD,TBD,No,Yes,,الموظف,FR-098,TBD,,
OFFLINE_QUEUE,PAYLOAD_JSON,TBD,TBD,No,No,,حمولة العملية,FR-098,TBD,,
OFFLINE_QUEUE,IDEMPOTENCY_KEY,TBD,TBD,No,No,,مفتاح عدم التكرار,FR-098,TBD,,
OFFLINE_QUEUE,STATUS,TBD,TBD,No,No,PENDING|SYNCED|FAILED,حالة المزامنة,FR-098,TBD,,
OFFLINE_QUEUE,QUEUED_AT,TBD,TBD,No,No,,وقت الإدراج,FR-098,TBD,,
OFFLINE_QUEUE,SYNC_AT,TBD,TBD,No,No,,وقت المزامنة,FR-098,TBD,,
